Id,ID_track,Artista,Album,Nombre_del_track,Popularidad,Duracion_en_ms,Explicitud,Bailabilidad,Energia,Tonalidad,Volumen,Modo,Palabrería,Acustica,Instrumentalidad,En_Vivo,Valencia,Tempo,Firma_de_tiempo,Genero_del_track
2961,2bPGTMB5sFfFYQ2YvSmup0,Rammstein,Rammstein,Deutschland,77,322339,False,0.521,0.895,7,-5.242,1,0.0442,5.54e-05,0.349,0.0985,0.237,120.117,4,alt-rock
1685,2ZOMnAID3cCIrboS3rWhqx,BaianaSystem,BaianaSystem,Vinheta Baiana,19,82760,False,0.427,0.59,9,-12.379,0,0.0645,0.82,0.834,0.241,0.722,121.578,4,afrobeat
106177,1rMfDvE2C8ne8UZj847rKM,ABBA,The Essential Collection,Dancing Queen,63,233440,False,0.508,0.825,9,-9.627,1,0.0451,0.175,0.00133,0.376,0.715,100.548,4,swedish
33241,1BR2rZ8nZ0pPuRkuyE3oZ2,PXNDX,Bonanza,La noche de la mesa triste,46,259946,False,0.49,0.965,8,-3.365,1,,0.00156,0.00703,0.313,0.558,92.131,4,emo
42182,3QIKlxgJe4exDyey5Ibjo7,Napalm Death,Enemy of the Music Business + Leaders Not Followers,Next on the List,16,216093,False,0.257,0.997,1,-4.56,1,0.122,2.34e-05,0.00371,0.294,0.243,115.032,4,grindcore
46998,3KaH2dK6ZglWduTqUurCYQ,Scooter,No Time To Chill,Everything's Borrowed,16,315306,False,0.705,0.964,9,-7.232,0,,2.69e-05,0.817,0.322,0.758,138.981,4,happy
64243,7nSM5Q806uLYcJvWRCIRg2,Ella Fitzgerald,Weihnachtssongs,Sleigh Ride,0,175986,,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,4,jazz
44692,1gn1jSK8io8C5kK7l0lmEN,Shinedown,The Studio Album Collection,45,28,249573,False,0.453,0.65,7,-4.508,1,0.0271,0.00251,0.0,0.158,0.225,152.133,3,grunge
97027,1JEyLSPTKbESq0oeczhbkQ,Henrique & Juliano,Ao Vivo No Ibirapuera,Desfarreou - Ao Vivo,56,172572,,0.426,0.563,6,-6.366,1,0.0377,0.345,0.0,0.423,0.668,117.543,4,sertanejo
50431,0KBVz8R57yXqv9XzqLcyah,Stam1na,Stam1na,Paha arkkitehti,24,240567,False,0.463,0.829,2,-8.301,1,0.0374,0.00017,0.168,0.29,0.233,97.46,4,heavy-metal
103713,5LxvwujISqiB8vpRYv887S,The Jackson 5,Diana Ross Presents The Jackson 5,I Want You Back,77,176333,False,0.469,,8,-13.559,1,0.0571,0.305,0.00012,0.37,0.886,196.605,4,soul
4253,3VbWnPbVYxJ4rmwFGJw0D2,Cigarettes After Sex,Falling In Love,Falling In Love,47,245840,False,0.472,0.27,7,-11.649,1,0.027,0.729,0.0158,0.125,0.373,140.673,4,ambient
89043,1a4UteUQkqUIOr3YQQ20fD,Feid,Feliz Cumpleaños con Perreo,Si Te La Encuentras Por Ahí,2,191506,,0.736,0.569,8,,0,0.0779,0.144,5.27e-05,0.112,0.433,171.973,4,reggaeton
55731,2FfgDLrH2ryEpQlHQsftlY,Anupam Roy,Hemlock Society,Ekhon Onek Raat,48,225976,,0.727,,9,-9.797,1,0.0567,0.707,0.0,0.104,0.616,97.008,4,indian
24983,04TiCLkLXmQyk9SnNe6t6d,Inner City,Praise,United,5,390103,,0.654,0.687,6,-12.735,1,,0.00417,0.432,0.365,0.439,124.798,4,detroit-techno
60932,6iNOsIMBxXGOZnFqCMkC6N,Vybz Kartel,Round Corna,Round Corna,18,129890,True,0.801,,1,-1.02,1,0.364,0.0833,0.0,0.171,0.39,,4,j-dance
55675,4BuKcv3m61D3feQaJVW4oF,Ritviz,Mimmi,Pukaar,47,136751,False,0.534,0.476,7,,1,0.0325,0.0337,0.0,0.629,0.593,106.891,4,indian
71025,4xnB2yGAeXOuR3kJ9KTD3b,Red Hot Chili Peppers,Rock Brandneu,Nerve Flip,0,186148,False,0.386,,8,-4.005,1,0.0701,0.0121,1.6e-05,0.266,0.418,,4,metal
9094,2lxPxoNHyjE5cpdxuj9VuK,Tim Maia,Só as Melhores do Pop Rock Brasileiro,Vê se decide,0,193866,,0.817,0.743,8,-6.656,0,0.0464,0.298,0.0,0.233,0.961,,4,brazil
106368,5WV7sVt2SrS4etUgwmNp4f,Håkan Hellström,Rampljus,Va inte född att följa efter,40,241382,,0.718,0.454,5,-9.036,1,0.069,0.483,0.0,0.103,0.514,123.976,4,swedish
87070,4VP37dqsrYmgYiAF7MO4i1,Chuck Berry,60s Christmas Party,You Never Can Tell - 1964 Single Version,0,163066,False,0.572,0.848,7,,1,0.125,0.739,4.67e-06,0.245,0.927,,4,r-n-b
88909,6D2TCm4nf5nxAcdGJ7w3QP,J Balvin;Maria Becerra,JOSE,Qué Más Pues?,76,217360,False,0.903,,8,-3.972,1,0.095,0.0272,0.000311,0.242,0.732,102.014,4,reggae
50075,0lGB9TanliqW8rYVj7JusE,Rata Blanca,Rata Blanca,La Misma Mujer,34,447133,False,0.531,0.396,6,,1,,0.0181,0.835,0.115,0.391,104.209,4,heavy-metal
88205,79hVM41bj2IKfCVhUFh9Ra,Daddy Yankee;Bad Bunny,Halloween con perreito,X ÚLTIMA VEZ,0,192477,True,0.812,,7,,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,reggae
13688,7LLHsA0fykxdPPmJ0mxr4X,Robert Hood,DJ-Kicks (DJ Tennis) [DJ Mix],Escapes - Mixed,8,368922,,0.802,0.734,10,,0,0.0568,0.288,0.917,0.0938,0.274,121.005,4,chicago-house
42837,699sKxX1RACqrTPe6wL7ON,Napalm Death,From Enslavement To Obliteration (Full Dynamic Range Edition),Mentally Murdered,11,135853,False,0.181,0.889,2,-12.449,1,0.0606,3.6e-06,0.92,0.232,0.454,112.193,4,grindcore
14037,2lq3d53NETfcilAy4DG2Ui,Kidz Bop Kids,Diversión para los peques,Levitating,0,186466,False,0.706,0.798,5,-4.733,0,0.0374,0.00416,0.00283,0.106,0.812,103.017,4,children
88367,3PYW3j5X7x7xctZi10Mjga,Don Omar,Perreo Tenebroso Vol. 4,Pobre Diabla,0,255680,False,0.741,0.787,5,-6.228,1,,0.217,0.0179,0.0835,0.771,91.993,4,reggae
68532,1ZhmacPRRzLc9p3JPhWkCZ,Kevin Roldan,Feliz Cumpleaños con Perreo,PPP,0,129332,False,0.798,,4,,1,0.13,0.383,3.33e-05,0.125,0.774,,4,latino
103334,04n3BXCeZP0S0pOAyGKOWt,The Jackson 5,A Very 70s Christmas,Give Love On Christmas Day,0,183546,False,0.488,0.451,0,-8.381,1,0.026,0.65,0.0,0.0639,0.576,141.868,4,soul
86388,4jR6F4pGMhui8B6AbW5dBb,Patricio Rey y sus Redonditos de Ricota,¡Bang! ¡Bang!... Estás Liquidado,Rock para los Dientes,44,209760,False,0.469,0.957,9,-5.684,0,,0.0209,0.000106,0.151,0.524,109.212,4,punk
3139,1wmOubz5LefeGM4KDAcsfz,Weezer,Christmas Rock 2022,O Come All Ye Faithful,0,124653,,0.516,0.818,11,,1,0.0393,0.00701,0.0,0.337,0.769,121.907,4,alternative
110233,7JoVRy6b5AqggrBcSQ27wV,Armin van Buuren,A State Of Trance Top 20 - June 2018 (Selected by Armin van Buuren),Blah Blah Blah,47,183518,False,0.612,0.963,5,-3.912,0,0.0531,0.00897,0.00378,0.294,0.179,138.009,4,trance
61663,3YCHot03twqlDyjvLxZnzk,Nogizaka46,ガールズルール TypeC,他の星から,20,249293,False,0.585,0.91,5,-4.351,0,0.0358,0.0169,7.1e-06,0.283,0.794,130.986,4,j-idol
52690,1kc3sMH4EMcVSmVKWpAVfk,George Jones,The Essential George Jones,We Can Make It,12,124693,False,0.659,0.305,2,,1,,0.584,0.000824,0.106,0.586,88.479,4,honky-tonk
52964,3ot7yfRXpFYYmBBZ8XrM2f,George Jones,Too Wild Too Long,I'm a Survivor,10,190213,False,0.506,0.279,8,-13.727,1,,0.729,3.01e-06,0.187,0.313,89.825,3,honky-tonk
46173,0OwpHcn7HdJUIR13F6vP2y,Scooter,J'Adore Hardcore,J'Adore Hardcore - Radio Edit,25,227811,False,0.498,0.934,7,-4.896,1,0.055,0.00866,0.0183,0.695,0.21,149.935,4,happy
14239,7KrJI4fnTBGYIWzkEuCi1V,Kidz Bop Kids,KIDZ BOP Halloween,Thunder,39,155373,False,0.706,0.87,10,-3.511,1,0.0468,0.0137,0.000135,0.343,0.781,83.998,4,children
91128,58yD1ZePlS6V4gImXGV8Ed,Red Hot Chili Peppers,Daily Pop Mix,Tippa My Tongue,0,260808,,0.573,0.913,5,-6.52,0,0.0409,0.00861,0.0273,0.114,0.795,88.418,4,rock
91760,3ovjw5HZZv43SxTwApooCM,Scorpions,Crazy World,Wind Of Change,79,312360,,0.452,0.524,0,,1,0.0351,0.315,0.0,0.103,0.246,151.505,4,rock
41087,6Myh6QeCDP4bJp7PxqXWyF,Håkan Hellström,För sent för Edelweiss,Kär i en ängel,34,257360,False,0.691,0.64,0,,1,0.0311,0.526,2.99e-06,0.315,0.687,104.978,4,goth
9962,00LmM2QLGpfb5NC7PC7qqZ,Criolo,Ainda Há Tempo,Vasilhame,43,172440,,0.506,0.876,2,-5.877,0,0.316,0.194,1.86e-06,0.353,0.676,124.218,5,brazil
84346,3SdingSsFcZDZAyvcJbgAw,The Beatles,A Hard Day's Night (Remastered),Can't Buy Me Love - Remastered 2009,65,131866,,0.483,0.677,0,-5.91,1,,0.283,0.0,0.321,0.842,170.72,4,psych-rock
79183,6lSPwGVUg40KxFwR2kV15Q,Jim Brickman,Winter Chill,O Christmas Tree,0,238478,False,0.592,0.131,5,-17.116,1,0.0344,0.975,0.928,0.091,0.118,132.014,4,piano
87246,6BK1Z6VNYJjJ1wfwU8wdCr,Legião Urbana,Legião Urbana,A Dança,48,242000,False,0.759,0.389,11,-13.917,0,0.0648,0.00171,0.00175,0.1,0.68,136.059,4,r-n-b
11374,2hXf3fSrjRukABi6Zc5RCw,Lorne Balfe,Black Adam (Original Motion Picture Soundtrack),Nanobots,19,93163,False,0.105,0.156,0,-24.884,1,0.043,0.883,0.954,0.111,0.0374,91.929,3,british
81185,3zHq9ouUJQFQRf3cm1rRLu,Ellie Goulding,Delirium (Deluxe),"Love Me Like You Do - From ""Fifty Shades Of Grey""",79,252534,,0.262,,8,,1,0.0484,0.247,0.0,0.125,0.275,189.857,4,pop
17331,77GcYr9JP6uvJM0kPa6Nzk,Glee Cast,"Glee: The Music, The Christmas Album Vol. 3",Jingle Bell Rock,48,152946,False,0.623,0.738,3,,1,0.0281,0.179,0.0,0.146,0.874,152.066,4,club
40084,24Jh5ZcRVUQCFnWVO1j8DY,Gerson Rufino,Hora da Vitória,Eu Vou Vencer,48,311750,False,0.605,0.828,0,-4.932,1,0.0403,0.278,0.0,0.38,0.555,149.947,4,gospel
8118,4lJX2CpRZKPWAIOzOdvENF,Ella Fitzgerald,Home At Christmas,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues
102136,13H3jef8bfXNHUab8NOem3,Bryan Adams,All I want For Christmas Is Music,Christmas Time,0,243057,False,0.503,0.582,0,,1,0.0253,0.472,0.0,0.103,0.326,77.321,4,songwriter
