Popularidad,Duracion_en_ms,Explicitud,Bailabilidad,Energia,Tonalidad,Volumen,Modo,Palabrería,Acustica,Instrumentalidad,En_Vivo,Valencia,Tempo,Firma_de_tiempo,Genero_del_track
77,322339,0.0,0.521,0.895,7,-5.242,1,0.0442,5.54e-05,0.349,0.0985,0.237,120.117,4,2
19,82760,0.0,0.427,0.59,9,-12.379,0,0.0645,0.82,0.834,0.241,0.722,121.578,4,1
63,233440,0.0,0.508,0.825,9,-9.627,1,0.0451,0.175,0.00133,0.376,0.715,100.548,4,98
46,259946,0.0,0.49,0.965,8,-3.365,1,0.0893,0.00156,0.00703,0.313,0.558,92.131,4,30
16,216093,0.0,0.257,0.997,1,-4.56,1,0.122,2.34e-05,0.00371,0.294,0.243,115.032,4,39
16,315306,0.0,0.705,0.964,9,-7.232,0,0.07512349203425729,2.69e-05,0.817,0.322,0.758,138.981,4,43
0,175986,0.0,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,4,60
28,249573,0.0,0.453,0.65,7,-4.508,1,0.0271,0.00251,0.0,0.158,0.225,152.133,3,41
56,172572,0.0,0.426,0.563,6,-6.366,1,0.0377,0.345,0.0,0.423,0.668,117.543,4,91
24,240567,0.0,0.463,0.829,2,-8.301,1,0.0374,0.00017,0.168,0.29,0.233,97.46,4,47
77,176333,0.0,0.469,0.4783607966778759,8,-13.559,1,0.0571,0.305,0.00012,0.37,0.886,196.605,4,96
47,245840,0.0,0.472,0.27,7,-11.649,1,0.027,0.729,0.0158,0.125,0.373,140.673,4,4
2,191506,0.0,0.736,0.569,8,-3.559,0,0.0779,0.144,5.27e-05,0.112,0.433,171.973,4,85
48,225976,0.0,0.727,0.564,9,-9.797,1,0.0567,0.707,0.0,0.104,0.616,97.008,4,51
5,390103,0.0,0.654,0.687,6,-12.735,1,0.07512349203425729,0.00417,0.432,0.365,0.439,124.798,4,23
18,129890,1.0,0.801,0.946,1,-1.02,1,0.364,0.0833,0.0,0.171,0.39,101.865,4,56
47,136751,0.0,0.534,0.476,7,-8.268,1,0.0325,0.0337,0.0,0.629,0.593,106.891,4,51
0,186148,0.0,0.386,0.936,8,-4.005,1,0.0701,0.0121,1.6e-05,0.266,0.418,176.366,4,67
0,193866,0.0,0.817,0.743,8,-6.656,0,0.0464,0.298,0.0,0.233,0.961,123.382,4,8
40,241382,0.0,0.718,0.454,5,-9.036,1,0.069,0.483,0.0,0.103,0.514,123.976,4,98
